"title","rating","summary","releaseDate"
"Game of Thrones","9.3","Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","TV Series (2011–2019)"
"Breaking Bad","9.5","A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.","TV Series (2008–2013)"
"Stranger Things","8.8","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","TV Series (2016– )"
"Vikings","8.5","Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","TV Series (2013– )"
"Peaky Blinders","8.8","A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","TV Series (2013– )"
"Friends","8.9","Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.","TV Series (1994–2004)"
"Black Mirror","8.8","An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","TV Series (2011– )"
"Chernobyl","9.4","In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.","TV Mini-Series (2019)"
"Sherlock","9.1","A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.","TV Series (2010–2017)"
"Westworld","8.7","Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.","TV Series (2016– )"
"The Walking Dead","8.2","Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.","TV Series (2010– )"
"The Mandalorian","8.7","The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.","TV Series (2019– )"
"Money Heist","8.4","An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.","TV Series (2017– )"
