"title","rating","summary","releaseDate"
"Death Note","9.0","An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.","TV Series (2006–2007)"
"Fullmetal Alchemist: Brotherhood","9.1","Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.","TV Series (2009–2012)"
"Attack on Titan","8.8","After his hometown is destroyed and his mother is killed, young Eren Yeager vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","TV Series (2013– )"
"One Punch Man","8.8","The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.","TV Series (2015– )"
"Hunter x Hunter","8.9","Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks for his father who left him when he was younger.","TV Series (2011–2014)"
"Naruto: Shippûden","8.6","Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.","TV Series (2007–2017)"
"My Hero Academia","8.5","A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.","TV Series (2016– )"
"Steins;Gate","8.8","After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.","TV Series (2011–2015)"
"Demon Slayer: Kimetsu No Yaiba","8.7","A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.","TV Series (2019– )"
"Naruto","8.3","Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja.","TV Series (2002–2007)"
"Dragon Ball Z","8.7","After learning that he is from another planet, a warrior named Goku and his friends are prompted to defend it from an onslaught of extraterrestrial enemies.","TV Series (1996–2003)"
"Cowboy Bebop","8.9","The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.","TV Series (1998–1999)"
"Parasyte: The Maxim","8.3","17-year-old Shinichi Izumi is partially infected by a Parasyte; monsters that butcher and consume humans. He must learn to co-exist with the creature if he is to survive both the life of a Parasyte and human, as part monster, part person.","TV Series (2014–2015)"
